City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,81.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
2,Hokitika,NZ,54.79,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
3,Butaritari,KI,80.28,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
4,East London,ZA,71.6,few clouds,-33.0153,27.9116,Tu Casa
5,Hobart,AU,61.0,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
6,Bluff,NZ,51.75,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
7,Ushuaia,AR,51.8,light rain,-54.8,-68.3,Albatros Hotel
8,Tasiilaq,GL,21.2,fog,65.6145,-37.6368,The Red House
11,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
12,Hilo,US,69.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Bubaque,GW,77.86,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
14,Mar Del Plata,AR,66.0,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
15,Port Elizabeth,ZA,69.8,broken clouds,-33.918,25.5701,39 On Nile Guest House
16,Belyy Yar,RU,26.6,snow,53.6039,91.3903,Pasportnyy Stol
19,Begang,PH,75.96,moderate rain,6.6909,122.0168,"Busay ,Isabela City ,Basilan"
20,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
21,Hualmay,PE,76.08,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
22,Shwebo,MM,63.54,few clouds,22.5667,95.7,MOON SHINE Guest House
23,Ambon,ID,84.0,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
24,Sorland,NO,35.6,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
25,Ilulissat,GL,21.2,snow,69.2167,-51.1,Hotel Arctic
26,Mareeba,AU,75.2,light rain,-17.0,145.4333,Trinity Plains Tourist Park
27,Puerto Ayora,EC,82.4,broken clouds,-0.7393,-90.3518,Castillo Galapagos
28,Punta Arenas,CL,53.6,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
30,San Felipe,VE,82.99,few clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
31,Korla,CN,16.9,clear sky,41.7597,86.1469,Gulisitan Hotel
32,Mataura,NZ,42.71,broken clouds,-46.1927,168.8643,Ellie's Villa
33,Torbay,CA,35.01,light rain,47.6666,-52.7314,Gallows Cove
34,San Angelo,US,55.0,scattered clouds,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
35,Hermanus,ZA,73.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
37,Upernavik,GL,6.8,clear sky,72.7868,-56.1549,Gina's Guesthouse - Upernavik
39,Kiama,AU,64.99,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
40,Roald,NO,41.0,broken clouds,62.5833,6.1333,Flem Cabins
41,Salinas,US,64.99,clear sky,36.6777,-121.6555,Good Nite Inn Salinas Monterey
42,Abu Zabad,SD,73.6,scattered clouds,12.35,29.25,محي الدين نوري
43,Dayong,CN,46.4,clear sky,25.0209,118.2898,Haiyue Express Hotel
44,Rikitea,PF,78.44,few clouds,-23.1203,-134.9692,Pension Maro'i
45,Kapaa,US,73.4,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
46,Avarua,CK,75.2,light rain,-21.2078,-159.775,Paradise Inn
47,Pacific Grove,US,64.0,clear sky,36.6177,-121.9166,Lovers Point Inn
49,Frascati,IT,39.99,clear sky,41.8163,12.6687,Park Hotel Villa Grazioli
50,Cape Town,ZA,75.2,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
52,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
53,Tarakan,ID,77.49,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
55,Waingapu,ID,78.73,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
56,Nikolskoye,RU,19.4,snow,59.7035,30.7861,Tourist House - Sablino
57,Baraboo,US,28.99,overcast clouds,43.4711,-89.7443,Thunderbird Motor Inn
59,Bilma,NE,69.15,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
60,Abu Dhabi,AE,68.0,clear sky,24.4667,54.3667,Beach Rotana
61,San Pedro,PH,78.8,moderate rain,14.35,121.0167,OYO 412 Viewfort Venue
62,Ustka,PL,20.28,few clouds,54.5805,16.8619,Hotel Royal Baltic Luxury Boutique
63,Bonthe,SL,81.86,clear sky,7.5264,-12.505,Bonthe Holiday Village
64,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
65,Irece,BR,88.32,overcast clouds,-11.3042,-41.8558,RADAR INN HOTEL
66,Sitka,US,42.8,light rain,57.0531,-135.33,Westmark Sitka
67,Kodiak,US,37.4,clear sky,57.79,-152.4072,Best Western Kodiak Inn and Convention Center
68,Yinchuan,CN,23.65,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
69,Busselton,AU,66.0,broken clouds,-33.65,115.3333,Observatory Guest House
70,Sabha,LY,49.69,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
71,Bethel,US,41.0,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
73,Jiquilisco,SV,87.8,few clouds,13.3167,-88.5833,💈Peluquería Central💈
75,Trelleborg,SE,30.99,light snow,55.3751,13.1569,Hotell Dannegården
76,Dubbo,AU,57.2,overcast clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
77,Ust-Ordynskiy,RU,5.0,light snow,52.805,104.7508,Hotel Metelitsa
79,Te Anau,NZ,44.24,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
80,Bengkulu,ID,76.62,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
81,Hithadhoo,MV,81.57,overcast clouds,-0.6,73.0833,Scoop Guest House
83,Svetlyy,RU,10.4,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
84,Bambanglipuro,ID,76.66,overcast clouds,-7.95,110.2833,Puri Brata
85,Dingle,PH,75.34,light rain,10.9995,122.6711,SEGAYA PROPERTY
87,Faanui,PF,81.05,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
88,Kaitangata,NZ,50.0,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
89,Vila,PT,52.0,few clouds,42.0304,-8.1588,Hotel Castrum Villae
90,Lagoa,PT,61.79,light rain,39.05,-27.9833,Casa Das Faias
93,Lebu,CL,61.88,clear sky,-37.6167,-73.65,Hostal Las Lilas
94,Jamestown,US,35.01,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
95,Ribeira Grande,PT,60.8,light rain,38.5167,-28.7,Quinta da Meia Eira
97,Vila Velha,BR,88.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
98,East Grinstead,GB,42.01,clear sky,51.1238,-0.0061,Gothic House
99,Maiduguri,NG,76.75,broken clouds,11.8464,13.1603,College of Nursing & Midwifery Female's Hostel
100,Dunedin,NZ,53.01,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
101,Sinnamary,GF,80.62,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
104,Lanigan,CA,15.8,overcast clouds,51.8501,-105.0344,Ross Inn
105,Port Hedland,AU,86.0,broken clouds,-20.3167,118.5667,The Esplanade Hotel
106,Nanortalik,GL,29.89,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
107,Maragogi,BR,82.26,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
108,Dong Hoi,VN,61.05,overcast clouds,17.4833,106.6,Nam Long Hotel
109,Kirkwall,GB,41.0,scattered clouds,58.9848,-2.9587,Ayre Hotel
110,Komsomolskiy,UZ,37.4,mist,40.4272,71.7189,Ikathouse
111,Almoloya,MX,62.6,scattered clouds,19.7,-98.4,Motel Rancho Viejo
112,Noumea,NC,80.01,clear sky,-22.2763,166.4572,Hôtel Le Lagon
113,Berlevag,NO,37.4,broken clouds,70.8578,29.0864,Kvitbrakka
114,Ratnagiri,IN,77.61,clear sky,16.9833,73.3,Hotel Landmark
115,Calabar,NG,81.27,broken clouds,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
116,Namie,JP,27.0,few clouds,37.4833,141.0,いこいの村なみえ(福島県)
117,Hilton Head Island,US,55.0,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
118,Bredasdorp,ZA,71.6,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
119,Kaeo,NZ,60.01,clear sky,-35.1,173.7833,Bushido Lodge
121,Nishihara,JP,59.0,broken clouds,26.1842,127.7558,Minshuku Agaihama
122,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
123,Lake Charles,US,66.2,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
124,Kampong Cham,KH,70.38,few clouds,11.9934,105.4635,7 Makara Hotel
125,Lompoc,US,68.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
126,Kahului,US,71.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
129,Sukhumi,GE,46.08,light rain,43.0033,41.0153,Ritsa Hotel
130,Severo-Kurilsk,RU,22.3,overcast clouds,50.6789,156.125,Kak Doma
131,Antalaha,MG,78.76,light rain,-14.9003,50.2788,Hotel Vitasoa
132,Quatre Cocos,MU,81.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
133,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
136,Mitsamiouli,KM,81.88,clear sky,-11.3847,43.2844,Foyer ADM
137,Iralaya,HN,80.94,overcast clouds,15.0,-83.2333,Iglesia morava renovada
138,Taytay,PH,78.8,moderate rain,14.5678,121.1394,Date & Dine Resort
139,Mamallapuram,IN,77.0,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
140,Florianopolis,BR,89.6,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
141,Matara,LK,76.69,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
142,Victoria,HK,57.0,broken clouds,22.2855,114.1577,Mini Hotel Central
143,Olafsvik,IS,33.33,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
145,New Norfolk,AU,61.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
146,Flinders,AU,62.6,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
147,Katsuura,JP,39.99,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
148,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
149,Castro,BR,70.36,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
150,Hami,CN,15.4,clear sky,42.8,93.45,Laoyutang Resort
151,Bathsheba,BB,78.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
152,Ahipara,NZ,64.08,few clouds,-35.1667,173.1667,Ahipara Holiday Park
153,Port Macquarie,AU,62.01,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
155,Hobyo,SO,76.87,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
156,Lamu,KE,80.6,clear sky,-2.2717,40.902,Lamu House
157,Hasaki,JP,34.0,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
158,Klaksvik,FO,39.2,light rain,62.2266,-6.5889999999999995,Airbnb rooms
160,College,US,10.4,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
161,Fernandez,AR,84.99,clear sky,-27.9204,-63.8935,Cordoba Hunting
162,Blenheim,NZ,61.0,clear sky,-41.516000000000005,173.9528,Knightsbridge Court Motor Lodge
164,Kemijarvi,FI,11.34,broken clouds,66.7131,27.4306,Hotelli Kemijärvi
166,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
167,Rurrenabaque,BO,87.8,light rain,-14.4413,-67.5278,Casa de Campo
