City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-01-16 00:49:40,-34.5322,20.0403,64.4,72,0,9.22
1,Kapaa,US,2021-01-16 00:49:31,22.0752,-159.319,78.8,78,75,10.36
2,Port Alfred,ZA,2021-01-16 00:49:40,-33.5906,26.891,66.99,86,0,5.99
3,Tobermory,CA,2021-01-16 00:49:40,45.2501,-81.6665,39.2,81,100,14.97
4,Cidreira,BR,2021-01-16 00:48:49,-30.1811,-50.2056,77.11,83,98,21.45
5,Hilo,US,2021-01-16 00:45:02,19.7297,-155.09,82.4,57,1,11.5
6,Corn Island,NI,2021-01-16 00:49:40,12.1694,-83.0418,79.63,77,100,13.44
7,Carnarvon,AU,2021-01-16 00:47:55,-24.8667,113.6333,80.6,100,0,11.5
8,Souillac,MU,2021-01-16 00:49:40,-20.5167,57.5167,78.8,94,40,4.61
9,Rikitea,PF,2021-01-16 00:49:40,-23.1203,-134.9692,79.68,66,0,8.1
10,Kirkenaer,NO,2021-01-16 00:49:40,60.4564,12.0582,5.0,92,0,4.61
11,Ancud,CL,2021-01-16 00:49:40,-41.8697,-73.8203,55.4,82,75,3.44
12,Keti Bandar,PK,2021-01-16 00:49:40,24.1447,67.4497,61.12,28,0,8.01
13,Mataura,NZ,2021-01-16 00:49:41,-46.1927,168.8643,73.0,63,0,8.99
14,Punta Arenas,CL,2021-01-16 00:49:41,-53.15,-70.9167,55.4,76,0,10.36
15,Rudbar,AF,2021-01-16 00:49:41,30.15,62.6,47.88,39,0,4.83
16,Ushuaia,AR,2021-01-16 00:46:31,-54.8,-68.3,62.6,51,40,10.36
17,Huangzhai,CN,2021-01-16 00:49:41,38.0751,112.6595,23.0,39,0,6.71
18,Limbazi,LV,2021-01-16 00:49:41,57.5129,24.7194,3.99,90,100,1.01
19,Saint-Philippe,RE,2021-01-16 00:49:41,-21.3585,55.7679,77.0,83,20,3.44
20,Caravelas,BR,2021-01-16 00:49:41,-17.7125,-39.2481,75.47,88,100,5.68
21,Butaritari,KI,2021-01-16 00:49:41,3.0707,172.7902,81.28,78,0,21.0
22,Flinders,AU,2021-01-16 00:49:41,-34.5833,150.8552,70.0,43,0,4.0
23,Stephenville,US,2021-01-16 00:49:41,32.2207,-98.2023,50.0,14,90,11.5
24,Cradock,ZA,2021-01-16 00:49:41,-32.1642,25.6192,63.55,79,80,5.88
25,Kaitangata,NZ,2021-01-16 00:49:41,-46.2817,169.8464,64.99,77,17,13.0
26,Georgetown,MY,2021-01-16 00:45:10,5.4112,100.3354,78.8,94,20,4.61
27,Puerto Ayora,EC,2021-01-16 00:49:41,-0.7393,-90.3518,75.99,91,100,4.0
28,Jijiga,ET,2021-01-16 00:49:41,9.35,42.8,59.94,35,50,7.76
29,Barrow,US,2021-01-16 00:49:41,71.2906,-156.7887,-11.2,77,1,14.97
30,Sabang,ID,2021-01-16 00:49:41,5.8933,95.3214,80.2,80,90,12.3
31,Akyab,MM,2021-01-16 00:49:41,20.15,92.9,61.02,82,30,6.11
32,Te Anau,NZ,2021-01-16 00:49:41,-45.4167,167.7167,74.19,34,16,4.63
33,Hithadhoo,MV,2021-01-16 00:49:42,-0.6,73.0833,81.27,77,86,14.83
34,Hasaki,JP,2021-01-16 00:49:42,35.7333,140.8333,48.2,87,20,3.44
35,Albany,US,2021-01-16 00:46:00,42.6001,-73.9662,39.99,75,100,11.01
36,The Valley,AI,2021-01-16 00:49:42,18.217,-63.0578,78.01,78,20,5.75
37,Khatanga,RU,2021-01-16 00:49:42,71.9667,102.5,-44.72,78,25,3.2
38,Patacamaya,BO,2021-01-16 00:49:42,-17.2333,-67.9167,51.96,71,97,9.26
39,Castro,BR,2021-01-16 00:45:41,-24.7911,-50.0119,63.77,96,40,7.67
40,Ilulissat,GL,2021-01-16 00:49:42,69.2167,-51.1,14.0,67,75,16.11
41,Rawson,AR,2021-01-16 00:49:42,-43.3002,-65.1023,62.19,71,100,21.9
42,Port Lincoln,AU,2021-01-16 00:49:42,-34.7333,135.8667,61.95,54,21,12.75
43,Dingle,PH,2021-01-16 00:49:42,10.9995,122.6711,76.39,92,94,10.78
44,Upice,CZ,2021-01-16 00:49:42,50.5124,16.0161,21.0,79,100,4.03
45,Mjolby,SE,2021-01-16 00:49:42,58.326,15.1237,19.4,92,90,5.75
46,Provideniya,RU,2021-01-16 00:49:42,64.3833,-173.3,12.96,94,100,5.14
47,Kang,BW,2021-01-16 00:49:42,-23.6752,22.7876,74.39,64,49,11.1
48,Leningradskiy,RU,2021-01-16 00:49:42,69.3833,178.4167,-12.82,88,100,6.82
49,Hobart,AU,2021-01-16 00:46:19,-42.8794,147.3294,61.0,44,40,10.36
50,Emmett,US,2021-01-16 00:49:42,43.8735,-116.4993,33.01,80,100,1.99
51,Bluff,NZ,2021-01-16 00:49:42,-46.6,168.3333,73.0,63,16,8.99
52,Zhigansk,RU,2021-01-16 00:49:42,66.7697,123.3711,-35.84,80,100,2.57
53,Gogrial,SS,2021-01-16 00:49:42,8.5332,28.1004,68.04,25,0,6.02
54,Broome,US,2021-01-16 00:49:42,42.2506,-75.833,39.0,93,90,19.57
55,Vysokogornyy,RU,2021-01-16 00:49:43,50.1167,139.15,-5.64,83,0,0.87
56,Uruzgan,AF,2021-01-16 00:49:43,32.8333,66.0,37.26,55,20,8.52
57,Olafsvik,IS,2021-01-16 00:49:43,64.8945,-23.7142,34.79,92,100,17.74
58,Hanko,FI,2021-01-16 00:49:43,59.8333,22.95,21.99,88,100,8.99
59,Berlevag,NO,2021-01-16 00:49:43,70.8578,29.0864,35.67,88,100,21.72
60,Chacabuco,AR,2021-01-16 00:48:12,-34.6417,-60.4739,66.99,92,7,7.05
61,Airai,TL,2021-01-16 00:49:43,-8.9266,125.4092,65.37,100,93,0.72
62,Kaseda,JP,2021-01-16 00:49:43,31.4167,130.3167,53.6,94,20,2.3
63,Mimoso Do Sul,BR,2021-01-16 00:49:43,-21.0642,-41.3664,71.42,91,6,3.06
64,Busselton,AU,2021-01-16 00:49:43,-33.65,115.3333,69.01,59,0,8.99
65,Atuona,PF,2021-01-16 00:49:43,-9.8,-139.0333,77.61,76,7,12.28
